"PartitionKey","RowKey","Timestamp","DeviceId","SensorId","Type","Unit","Value","ReceivedAtUtc"
"hivewatch-esp32-board2","202607120042007068751-2128d0f6b6bf4537945df4ea053254bd","2026-07-12T00:42:00.812059+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.56","2026-07-12T00:42:00.706875+00:00"
"hivewatch-esp32-board2","202607120047015715793-1d02aec4b8de486f8320903fb9a37576","2026-07-12T00:47:01.672742+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.56","2026-07-12T00:47:01.571579+00:00"
"hivewatch-esp32-board2","202607120052025517147-0a4b312faa1c40c6ae9896dea73417ce","2026-07-12T00:52:02.652182+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.56","2026-07-12T00:52:02.551714+00:00"
"hivewatch-esp32-board2","202607120057036041970-3ec814d2f8744aaa9c317c594efc69d4","2026-07-12T00:57:03.696800+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.56","2026-07-12T00:57:03.604197+00:00"
"hivewatch-esp32-board2","202607120102038464370-7ddc30a118cd46efa91d1392ac7a47ba","2026-07-12T01:02:03.964277+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.56","2026-07-12T01:02:03.846437+00:00"
"hivewatch-esp32-board2","202607120107038899163-97e421fea5bf44a4adea87f8c43d3ff5","2026-07-12T01:07:03.987557+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.56","2026-07-12T01:07:03.889916+00:00"
"hivewatch-esp32-board2","202607120112037824086-e127ba924b7e452189d82c5cfd1e5236","2026-07-12T01:12:03.899602+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.5","2026-07-12T01:12:03.782408+00:00"
"hivewatch-esp32-board2","202607120117046720705-48d8e3a9531c41c8a04ca335db7c8d7a","2026-07-12T01:17:04.772016+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.5","2026-07-12T01:17:04.672070+00:00"
"hivewatch-esp32-board2","202607120122061147467-7cb6b69a1b504e1a9ed6f58cf9ffe874","2026-07-12T01:22:06.223305+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.5","2026-07-12T01:22:06.114746+00:00"
"hivewatch-esp32-board2","202607120127060398663-c8b91e5265ff4c0896eda4bccf1d216b","2026-07-12T01:27:06.151933+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.5","2026-07-12T01:27:06.039866+00:00"
"hivewatch-esp32-board2","202607120132070096969-b91694cda02e4872889e939a34e399cf","2026-07-12T01:32:07.127157+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.44","2026-07-12T01:32:07.009696+00:00"
"hivewatch-esp32-board2","202607120137077625241-a168ee84e1334adaaafb409a55a1598e","2026-07-12T01:37:07.861005+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.44","2026-07-12T01:37:07.762524+00:00"
"hivewatch-esp32-board2","202607120142085657466-91266d0374db4e41b4719747beb0405a","2026-07-12T01:42:08.703152+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.44","2026-07-12T01:42:08.565746+00:00"
"hivewatch-esp32-board2","202607120147095971562-5a4f12ee1cfb43b197f25d08c0625707","2026-07-12T01:47:09.701244+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.44","2026-07-12T01:47:09.597156+00:00"
"hivewatch-esp32-board2","202607120152105224405-3df82d1b3da74e68b1c9d70ecf3dda51","2026-07-12T01:52:10.620114+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.44","2026-07-12T01:52:10.522440+00:00"
"hivewatch-esp32-board2","202607120157115633843-b9c1497a81f84ddea0882c233cb52bb4","2026-07-12T01:57:11.673898+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.37","2026-07-12T01:57:11.563384+00:00"
"hivewatch-esp32-board2","202607120202115166299-8bc30b4c1c4243a4844d53d9fb192053","2026-07-12T02:02:11.624153+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.37","2026-07-12T02:02:11.516629+00:00"
